,YYYY,MM,Q
0,2010.0,1.0,3563.3496
1,2010.0,2.0,4320.1324
2,2010.0,3.0,3501.9661
3,2010.0,4.0,1424.7409
4,2010.0,5.0,2009.8534
5,2010.0,6.0,802.13
6,2010.0,7.0,404.5649
7,2010.0,8.0,321.9712
8,2010.0,9.0,201.4929
9,2010.0,10.0,234.2895
10,2010.0,11.0,400.5883
11,2010.0,12.0,624.1845
12,2011.0,1.0,1116.5771
13,2011.0,2.0,1318.1572
14,2011.0,3.0,3864.2384
15,2011.0,4.0,3017.8158
16,2011.0,5.0,871.8377
17,2011.0,6.0,315.4303
18,2011.0,7.0,374.4394
19,2011.0,8.0,295.6548
20,2011.0,9.0,883.3331
21,2011.0,10.0,239.7794
22,2011.0,11.0,459.0814
23,2011.0,12.0,1674.8382
24,2012.0,1.0,2482.4151
25,2012.0,2.0,2246.694
26,2012.0,3.0,2595.6458
27,2012.0,4.0,747.3087
28,2012.0,5.0,509.5837
29,2012.0,6.0,296.7978
30,2012.0,7.0,337.792
31,2012.0,8.0,511.0543
32,2012.0,9.0,771.2647
33,2012.0,10.0,512.4793
34,2012.0,11.0,345.6349
35,2012.0,12.0,1566.531
36,2013.0,1.0,3780.2928
37,2013.0,2.0,5137.5777
38,2013.0,3.0,3081.5986
39,2013.0,4.0,2766.457
40,2013.0,5.0,2905.9157
41,2013.0,6.0,1041.1804
42,2013.0,7.0,1821.976
43,2013.0,8.0,1166.9758
44,2013.0,9.0,517.414
45,2013.0,10.0,459.6639
46,2013.0,11.0,617.4101
47,2013.0,12.0,2570.8183
48,2014.0,1.0,2207.797
49,2014.0,2.0,3092.9935
50,2014.0,3.0,2390.8514
51,2014.0,4.0,5040.296
52,2014.0,5.0,1790.0876
53,2014.0,6.0,1233.9518
54,2014.0,7.0,576.7127
55,2014.0,8.0,318.2534
56,2014.0,9.0,306.7276
57,2014.0,10.0,579.6266
58,2014.0,11.0,678.3478
59,2014.0,12.0,1551.1486
60,2015.0,1.0,2808.3871
61,2015.0,2.0,1627.3362
62,2015.0,3.0,2764.7245
63,2015.0,4.0,3004.3181
64,2015.0,5.0,1036.3218
65,2015.0,6.0,692.7328
66,2015.0,7.0,599.9051
67,2015.0,8.0,388.0863
68,2015.0,9.0,259.8161
69,2015.0,10.0,341.5006
70,2015.0,11.0,1465.1395
71,2015.0,12.0,2705.8073
72,2016.0,1.0,4033.4085
73,2016.0,2.0,3913.7723
74,2016.0,3.0,3278.172
75,2016.0,4.0,2695.5706
76,2016.0,5.0,826.1472
77,2016.0,6.0,434.9366
78,2016.0,7.0,285.1684
79,2016.0,8.0,342.9439
80,2016.0,9.0,208.6069
81,2016.0,10.0,145.1921
82,2016.0,11.0,172.5958
83,2016.0,12.0,452.1828
84,2017.0,1.0,2027.4829
85,2017.0,2.0,1223.9128
86,2017.0,3.0,1549.002
87,2017.0,4.0,1843.9711
88,2017.0,5.0,1327.8935
89,2017.0,6.0,3051.9941
90,2017.0,7.0,1666.3523
91,2017.0,8.0,826.8414
92,2017.0,9.0,672.7505
93,2017.0,10.0,876.1857
94,2017.0,11.0,721.5121
95,2017.0,12.0,1143.3045
96,2018.0,1.0,835.099
97,2018.0,2.0,3847.2519
98,2018.0,3.0,2827.4782
99,2018.0,4.0,2931.3551
100,2018.0,5.0,1161.7013
101,2018.0,6.0,1236.6419
102,2018.0,7.0,675.31
103,2018.0,8.0,623.81
104,2018.0,9.0,700.7653
105,2018.0,10.0,530.1088
106,2018.0,11.0,1670.1815
107,2018.0,12.0,3735.7167
108,2019.0,1.0,5750.594
109,2019.0,2.0,3864.4341
110,2019.0,3.0,4792.2987
111,2019.0,4.0,3471.2621
112,2019.0,5.0,1688.5491
113,2019.0,6.0,647.171
114,2019.0,7.0,587.3726
115,2019.0,8.0,505.1443
116,2019.0,9.0,255.2948
117,2019.0,10.0,604.0704
118,2019.0,11.0,1397.7361
119,2019.0,12.0,2630.8043
120,2020.0,1.0,4993.1653
121,2020.0,2.0,7934.064
122,2020.0,3.0,5267.208
123,2020.0,4.0,4456.1204
124,2020.0,5.0,1516.7757
125,2020.0,6.0,1123.6578
126,2020.0,7.0,941.7711
127,2020.0,8.0,520.07
128,2020.0,9.0,856.234
129,2020.0,10.0,884.172
130,2020.0,11.0,968.3307
131,2020.0,12.0,983.3237
